Iagree.response,Iagree.rt,key_space.keys,key_space.rt,true_certain_0.response,true_certain_0.rt,nextPractice.keys,nextPractice.rt,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,trialsTraining.ran,context_t,pic_meaning_t,utterance_t,feedback_t,predicted_t,true_how_t,session,participant,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,true_certain_1.response,true_certain_1.rt,testDone.keys,testDone.rt,trialsTestLoop.thisRepN,trialsTestLoop.thisTrialN,trialsTestLoop.thisN,trialsTestLoop.thisIndex,trialsTestLoop.ran,context,pic_meaning,utterance,predicted,true_how,code
,,space,15.330795,0,5.398515,space,5.25552,0,0,0,0,1,语境：男生让女生选择吃什么。女生正在考虑。,trainingImg/amb1.png,句子：“男生正在等待女生， 手里握着一个手机。”,“手里握着手机”的可指“男生”，也可指“女生”。图片中确实有握着手机的女生。句子可以真实描述图片。,1,possibly,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,
,,,,1,22.739465,space,14.431255,0,1,1,1,1,语境：男生让女生选择吃什么。女生正在考虑。,trainingImg/amb2.png,句子：“男生正在等待女生， 手里握着一个手机。”,“手里握着手机”的可指“男生”，也可指“女生”。图片中确实有握着手机的男生。句子可以真实描述图片。,1,possibly,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,
,,,,0,20.16256,space,11.981455,0,2,2,2,1,语境：女生病了，躺在病床上睡着了。,trainingImg/noamb1.png,句子：“男生正在等待女生， 手里握着一个手机。”,“手里握着手机”的可指“男生”，也可指“女生”。图片中并没有握着手机的男生/女生。句子不可以真实描述图片。,0,necessarily,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,
,,,,1,10.150675,space,2.933025,0,3,3,3,1,语境：女生病了，躺在病床上睡着了。,trainingImg/noamb1.png,句子：“男生正在等待女生， 手里握着一张清洁纸巾。”,“手里握着清洁纸巾”的可指“男生”，也可指“女生”。图片中确实有握纸巾的男生。句子可以真实描述图片。,1,necessarily,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,space,1.07237,0,20.155445,space,20.371575,0,0,0,14,1,语境：图片中的女生觉得155cm算是高的男孩。她在比较三个男孩的身高。,img/rrgaodcomp.png,句子：“小明不高。”,0,necessarily,pos-t-comp-t-bugao
,,,,,,,,,,,,,,,,,,,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,1,7.336295,space,7.945165,0,1,1,0,1,语境：图片中的女生觉得7万算是贵的车。她想买车。,img/rguiupos.png,句子：“红车贵。”,1,possibly,pos-t-comp-f-gui
,,,,,,,,,,,,,,,,,,,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,0,5.718325,space,5.939495,0,2,2,20,1,语境：图片中的女生觉得20平方米算是大的蒙古包。她想租蒙古包。,img/rdaupos.png,句子：“B蒙古包不大。”,1,possibly,pos-t-comp-f-buda
,,,,,,,,,,,,,,,,,,,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,0,7.95,space,8.158395,0,3,3,28,1,语境：图片中的女生觉得时速90km算是快的车。她坐在副驾驶。,img/rkuaiupos.png,句子：“我们的这辆车不快。”,1,possibly,pos-t-comp-f-bukuai
,,,,,,,,,,,,,,,,,,,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,0,9.10066,space,14.274505,0,4,4,3,1,语境：图片中的女生在比较三辆车的价格。她觉得40万算是贵的车。,img/rguiupos.png,句子：“红车贵。”,0,necessarily,pos-f-comp-f-gui
,,,,,,,,,,,,,,,,,,,1,0,2020-08-04_21h46.47.393,xpragv7_080420,2020.1.2,Win32,60,,,1,7.699065,space,8.141005,0,5,5,21,1,语境：图片中的女生在比较三个蒙古包的面积大小。她觉得100平方米算是大的蒙古包。,img/rrdaucomp.png,句子：“B蒙古包不大。”,1,possibly,pos-f-comp-t-buda
